,Date,AirportName,PercentOfBaseline,Centroid.Latitute,Centroid.Longitude,City,State,ISO_3166_2,Country
147,2020/7/25,Kingsford Smith,35,151.18009,-33.94598,Sydney,New South Wales,AU,Australia
148,2020/4/12,Kingsford Smith,25,151.18009,-33.94598,Sydney,New South Wales,AU,Australia
149,2020/3/22,Kingsford Smith,89,151.18009,-33.94598,Sydney,New South Wales,AU,Australia
150,2020/6/30,Kingsford Smith,62,151.18009,-33.94598,Sydney,New South Wales,AU,Australia
151,2020/3/23,Kingsford Smith,84,151.18009,-33.94598,Sydney,New South Wales,AU,Australia
152,2020/8/26,Kingsford Smith,11,151.18009,-33.94598,Sydney,New South Wales,AU,Australia
153,2020/4/10,Kingsford Smith,8,151.18009,-33.94598,Sydney,New South Wales,AU,Australia
154,2020/6/5,Kingsford Smith,50,151.18009,-33.94598,Sydney,New South Wales,AU,Australia
155,2020/5/16,Kingsford Smith,23,151.18009,-33.94598,Sydney,New South Wales,AU,Australia
156,2020/8/18,Kingsford Smith,21,151.18009,-33.94598,Sydney,New South Wales,AU,Australia
157,2020/8/7,Kingsford Smith,22,151.18009,-33.94598,Sydney,New South Wales,AU,Australia
158,2020/10/9,Kingsford Smith,24,151.18009,-33.94598,Sydney,New South Wales,AU,Australia
159,2020/8/11,Kingsford Smith,20,151.18009,-33.94598,Sydney,New South Wales,AU,Australia
160,2020/5/27,Kingsford Smith,58,151.18009,-33.94598,Sydney,New South Wales,AU,Australia
161,2020/5/4,Kingsford Smith,53,151.18009,-33.94598,Sydney,New South Wales,AU,Australia
162,2020/6/19,Kingsford Smith,65,151.18009,-33.94598,Sydney,New South Wales,AU,Australia
163,2020/8/21,Kingsford Smith,17,151.18009,-33.94598,Sydney,New South Wales,AU,Australia
164,2020/10/15,Kingsford Smith,18,151.18009,-33.94598,Sydney,New South Wales,AU,Australia
165,2020/6/21,Kingsford Smith,46,151.18009,-33.94598,Sydney,New South Wales,AU,Australia
166,2020/5/15,Kingsford Smith,59,151.18009,-33.94598,Sydney,New South Wales,AU,Australia
167,2020/6/10,Kingsford Smith,56,151.18009,-33.94598,Sydney,New South Wales,AU,Australia
